GameID,Player,Minutes,Points,IsStarter,TotalRebounds,Assistances,Valuation,Plusminus
58,"BIBEROVIC, TARIK",18:31,10,0.0,2,2,9,-3.0
58,"MESTOGLU, HAMZA",DNP,0,0.0,0,0,0,0.0
58,"DORSEY, TYLER",28:16,18,1.0,4,5,22,4.0
58,"MADAR, YAM",27:45,2,1.0,5,3,4,-5.0
58,"SESTINA, NATHAN",20:15,4,1.0,2,0,0,10.0
58,Team,,0,0.0,2,0,2,
58,Total,200:00,84,,34,18,98,
65,"MOTLEY, JOHNATHAN",22:00,8,1.0,4,2,9,-10.0
65,"HAZER, SEHMUS",13:54,2,0.0,2,0,2,-15.0
65,"WILBEKIN, SCOTTIE",23:51,6,0.0,3,1,1,-17.0
65,"PAPAGIANNIS, GEORGIOS",22:24,6,0.0,4,2,8,-26.0
65,"MAHMUTOGLU, MELIH",07:19,3,0.0,0,0,2,-7.0
65,"HAYES-DAVIS, NIGEL",27:45,12,1.0,3,1,10,-21.0
65,"BIBEROVIC, TARIK",15:27,7,0.0,0,2,5,-17.0
65,"GUDURIC, MARKO",DNP,0,0.0,0,0,0,0.0
65,"DORSEY, TYLER",22:18,3,1.0,1,1,2,-20.0
65,"CALATHES, NICK",DNP,0,0.0,0,0,0,0.0
65,"MADAR, YAM",25:01,3,1.0,2,3,2,-11.0
65,"SESTINA, NATHAN",20:01,6,1.0,5,1,11,-11.0
65,Team,,0,0.0,1,0,0,
65,Total,200:00,56,,25,13,52,
74,"MOTLEY, JOHNATHAN",26:37,6,1.0,3,1,2,4.0
74,"HAZER, SEHMUS",06:30,0,0.0,1,0,0,1.0
74,"WILBEKIN, SCOTTIE",28:52,18,1.0,4,7,20,-7.0
74,"PAPAGIANNIS, GEORGIOS",18:27,0,0.0,5,1,4,-5.0
74,"MAHMUTOGLU, MELIH",DNP,0,0.0,0,0,0,0.0
74,"HAYES-DAVIS, NIGEL",39:14,16,1.0,6,1,15,-5.0
74,"BIBEROVIC, TARIK",28:09,18,1.0,5,1,17,-4.0
74,"GUDURIC, MARKO",DNP,0,0.0,0,0,0,0.0
74,"DORSEY, TYLER",14:05,7,0.0,1,0,2,0.0
74,"CALATHES, NICK",DNP,0,0.0,0,0,0,0.0
74,"MADAR, YAM",17:33,7,0.0,0,0,5,-2.0
74,"SESTINA, NATHAN",20:33,1,1.0,6,3,7,-7.0
74,Team,,0,0.0,2,0,1,
74,Total,200:00,73,,33,14,73,
86,"MOTLEY, JOHNATHAN",25:36,25,1.0,8,2,31,-2.0
86,"HAZER, SEHMUS",DNP,0,0.0,0,0,0,0.0
86,"WILBEKIN, SCOTTIE",28:59,13,1.0,2,3,6,0.0
86,"SANLI, SERTAC",14:25,7,0.0,3,1,8,-9.0
86,"PAPAGIANNIS, GEORGIOS",23:00,2,1.0,3,1,7,-2.0
86,"MAHMUTOGLU, MELIH",09:33,5,0.0,0,1,3,-4.0
86,"HAYES-DAVIS, NIGEL",33:03,10,1.0,3,2,13,-6.0
86,"GUDURIC, MARKO",21:34,9,1.0,3,4,11,6.0
86,"DORSEY, TYLER",DNP,0,0.0,0,0,0,0.0
86,"CALATHES, NICK",21:47,8,0.0,3,4,10,-13.0
86,"MADAR, YAM",13:26,0,0.0,2,1,-3,-3.0
86,"SESTINA, NATHAN",08:37,0,0.0,1,0,1,-7.0
86,Team,,0,0.0,4,0,3,
86,Total,200:00,79,,32,19,90,
93,"MOTLEY, JOHNATHAN",28:48,9,0.0,6,3,10,19.0
93,"WILBEKIN, SCOTTIE",24:14,19,0.0,5,0,22,10.0
93,"SANLI, SERTAC",14:09,3,0.0,3,2,0,-1.0
93,"PAPAGIANNIS, GEORGIOS",11:26,0,1.0,0,0,-2,-16.0
93,"MAHMUTOGLU, MELIH",DNP,0,0.0,0,0,0,0.0
93,"HAYES-DAVIS, NIGEL",37:10,16,1.0,7,1,21,-6.0
93,"BIBEROVIC, TARIK",DNP,0,0.0,0,0,0,0.0
93,"PIERRE, DYSHAWN",15:16,0,1.0,2,0,-4,-11.0
93,"GUDURIC, MARKO",33:09,21,1.0,7,5,29,9.0
93,"DORSEY, TYLER",17:44,2,0.0,1,0,-1,-6.0
93,"CALATHES, NICK",20:42,13,1.0,1,1,4,3.0
93,"MADAR, YAM",22:22,17,0.0,1,2,16,4.0
93,Team,,0,0.0,4,0,4,
93,Total,225:00,100,,37,14,99,
106,"MOTLEY, JOHNATHAN",23:37,11,1.0,2,1,8,-3.0
106,"WILBEKIN, SCOTTIE",10:29,7,0.0,1,1,3,1.0
106,"SANLI, SERTAC",16:23,3,0.0,4,0,3,2.0
106,"MAHMUTOGLU, MELIH",DNP,0,0.0,0,0,0,0.0
106,"HAYES-DAVIS, NIGEL",36:28,19,1.0,4,6,23,7.0
106,"BIBEROVIC, TARIK",DNP,0,0.0,0,0,0,0.0
106,"PIERRE, DYSHAWN",27:55,7,1.0,5,0,10,-3.0
106,"GUDURIC, MARKO",25:43,14,1.0,4,3,16,-4.0
106,"DORSEY, TYLER",18:31,9,0.0,2,1,13,5.0
106,"CALATHES, NICK",14:35,3,1.0,4,4,5,-6.0
106,"MADAR, YAM",22:47,6,0.0,2,2,6,4.0
106,"SESTINA, NATHAN",03:32,0,0.0,0,1,2,-8.0
106,Team,,0,0.0,2,0,1,
106,Total,200:00,79,,30,19,90,
113,"MOTLEY, JOHNATHAN",27:56,15,1.0,4,0,13,-12.0
113,"WILBEKIN, SCOTTIE",22:59,10,0.0,2,3,13,-2.0
113,"SANLI, SERTAC",12:01,7,0.0,3,0,6,4.0
113,"MAHMUTOGLU, MELIH",DNP,0,0.0,0,0,0,0.0
113,"HAYES-DAVIS, NIGEL",38:40,18,1.0,1,0,16,-4.0
113,"BIBEROVIC, TARIK",07:53,3,0.0,0,1,5,4.0
113,"PIERRE, DYSHAWN",31:04,5,1.0,6,2,11,-12.0
113,"GUDURIC, MARKO",13:03,4,1.0,2,0,-1,-13.0
113,"DORSEY, TYLER",30:24,13,0.0,5,7,18,1.0
113,"CALATHES, NICK",04:58,0,1.0,1,0,-4,-4.0
113,"MADAR, YAM",09:39,6,0.0,2,0,6,2.0
113,"SESTINA, NATHAN",01:23,0,0.0,0,0,0,-4.0
113,Team,,0,0.0,1,0,0,
113,Total,200:00,81,,27,13,83,
123,"MOTLEY, JOHNATHAN",14:33,6,0.0,4,1,7,6.0
123,"WILBEKIN, SCOTTIE",24:56,13,1.0,3,5,19,4.0
123,"SANLI, SERTAC",23:20,9,1.0,7,0,10,12.0
123,"MAHMUTOGLU, MELIH",DNP,0,0.0,0,0,0,0.0
123,"HAYES-DAVIS, NIGEL",34:34,23,1.0,6,2,25,7.0
123,"BIBEROVIC, TARIK",DNP,0,0.0,0,0,0,0.0
123,"PIERRE, DYSHAWN",14:59,4,1.0,5,3,8,6.0
123,"GUDURIC, MARKO",26:46,10,0.0,3,2,10,4.0
123,"DORSEY, TYLER",14:00,2,0.0,3,2,2,10.0
123,"CALATHES, NICK",26:56,7,1.0,10,3,12,9.0
123,"MADAR, YAM",13:04,7,0.0,0,3,3,3.0
123,"SESTINA, NATHAN",06:52,5,0.0,0,0,2,-1.0
123,Team,,0,0.0,6,0,6,
123,Total,200:00,86,,47,21,104,
135,"MOTLEY, JOHNATHAN",25:26,16,1.0,5,3,16,14.0
135,"WILBEKIN, SCOTTIE",27:31,17,1.0,1,3,17,16.0
135,"SANLI, SERTAC",08:10,3,0.0,0,0,-5,-3.0
135,"PAPAGIANNIS, GEORGIOS",04:22,0,0.0,0,0,-2,-4.0
135,"HAYES-DAVIS, NIGEL",32:09,6,1.0,4,1,9,7.0
135,"BIBEROVIC, TARIK",03:37,0,0.0,1,0,0,-3.0
135,"PIERRE, DYSHAWN",23:23,7,1.0,8,0,8,-9.0
135,"GUDURIC, MARKO",22:43,7,0.0,2,2,9,6.0
135,"DORSEY, TYLER",23:19,19,0.0,2,2,24,3.0
135,"CALATHES, NICK",20:22,5,1.0,3,6,10,-5.0
135,"MADAR, YAM",05:11,0,0.0,0,1,2,-7.0
135,"SESTINA, NATHAN",03:47,0,0.0,1,0,1,-5.0
135,Team,,0,0.0,3,0,2,
135,Total,200:00,80,,30,18,91,
139,"MOTLEY, JOHNATHAN",20:52,14,1.0,6,1,15,6.0
139,"WILBEKIN, SCOTTIE",26:21,20,1.0,3,6,22,12.0
139,"SANLI, SERTAC",05:45,4,0.0,3,0,1,-4.0
139,"PAPAGIANNIS, GEORGIOS",13:23,15,0.0,2,0,14,7.0
139,"HAYES-DAVIS, NIGEL",32:53,7,1.0,5,0,7,6.0
139,"BIBEROVIC, TARIK",00:36,0,0.0,0,0,0,-2.0
139,"PIERRE, DYSHAWN",31:59,4,1.0,5,1,6,9.0
139,"GUDURIC, MARKO",08:01,2,0.0,1,1,-1,0.0
139,"DORSEY, TYLER",13:39,12,0.0,0,1,13,-3.0
139,"CALATHES, NICK",30:23,4,1.0,5,13,17,19.0
139,"MADAR, YAM",09:37,4,0.0,2,2,7,-10.0
139,"SESTINA, NATHAN",06:31,5,0.0,0,0,4,5.0
139,Team,,0,0.0,7,0,7,
139,Total,200:00,91,,39,25,112,
145,"MOTLEY, JOHNATHAN",09:54,5,1.0,1,1,3,-1.0
145,"WILBEKIN, SCOTTIE",28:31,6,1.0,4,7,8,13.0
145,"SANLI, SERTAC",11:12,2,0.0,2,0,-2,-10.0
145,"PAPAGIANNIS, GEORGIOS",18:33,12,0.0,5,1,19,12.0
145,"HAYES-DAVIS, NIGEL",36:18,24,1.0,6,0,27,5.0
145,"BIBEROVIC, TARIK",21:40,7,0.0,5,1,8,11.0
145,"PIERRE, DYSHAWN",13:09,2,1.0,3,0,4,-3.0
145,"GUDURIC, MARKO",17:24,8,0.0,3,2,5,7.0
145,"DORSEY, TYLER",11:24,0,0.0,2,2,2,-8.0
145,"CALATHES, NICK",25:40,17,1.0,1,8,24,9.0
145,"MADAR, YAM",04:05,3,0.0,0,0,3,-7.0
145,"SESTINA, NATHAN",02:10,3,0.0,0,0,2,-3.0
145,Team,,0,0.0,1,0,1,
145,Total,200:00,89,,33,22,104,
154,"MOTLEY, JOHNATHAN",19:41,11,1.0,6,3,11,0.0
154,"WILBEKIN, SCOTTIE",23:53,14,1.0,1,4,10,-2.0
154,"SANLI, SERTAC",08:10,3,0.0,1,0,-2,-9.0
154,"PAPAGIANNIS, GEORGIOS",12:10,0,0.0,2,2,1,-2.0
154,"MAHMUTOGLU, MELIH",DNP,0,0.0,0,0,0,0.0
154,"HAYES-DAVIS, NIGEL",31:21,21,1.0,9,1,28,-17.0
154,"BIBEROVIC, TARIK",13:54,4,1.0,0,1,0,0.0
154,"GUDURIC, MARKO",23:26,3,0.0,2,0,2,-4.0
154,"DORSEY, TYLER",18:46,8,0.0,1,1,4,-10.0
154,"CALATHES, NICK",26:00,2,1.0,4,3,8,-7.0
154,"MADAR, YAM",14:00,8,0.0,1,2,7,-2.0
154,"SESTINA, NATHAN",08:39,2,0.0,1,3,2,8.0
154,Team,,0,0.0,4,0,4,
154,Total,200:00,76,,32,20,75,
165,"MOTLEY, JOHNATHAN",14:21,17,0.0,2,0,17,4.0
165,"WILBEKIN, SCOTTIE",23:00,14,1.0,1,6,18,27.0
165,"SANLI, SERTAC",15:56,7,1.0,4,2,11,-1.0
165,"PAPAGIANNIS, GEORGIOS",16:01,14,0.0,6,1,18,30.0
165,"MAHMUTOGLU, MELIH",05:20,0,0.0,0,0,-1,7.0
165,"HAYES-DAVIS, NIGEL",24:50,11,1.0,3,2,19,30.0
165,"BIBEROVIC, TARIK",14:17,5,1.0,0,1,1,2.0
165,"GUDURIC, MARKO",22:33,3,0.0,2,2,6,28.0
165,"DORSEY, TYLER",17:00,21,0.0,1,1,21,8.0
165,"CALATHES, NICK",16:06,7,1.0,2,7,15,8.0
165,"MADAR, YAM",23:54,10,0.0,4,5,15,27.0
165,"SESTINA, NATHAN",06:42,0,0.0,3,0,0,5.0
165,Team,,0,0.0,7,0,7,
165,Total,200:00,109,,35,27,147,
172,"MOTLEY, JOHNATHAN",06:29,4,0.0,0,0,1,-5.0
172,"WILBEKIN, SCOTTIE",14:35,0,1.0,1,2,0,-9.0
172,"SANLI, SERTAC",05:18,4,1.0,0,0,2,-7.0
172,"PAPAGIANNIS, GEORGIOS",13:19,2,0.0,4,3,5,8.0
172,"HAYES-DAVIS, NIGEL",19:20,12,1.0,7,1,15,-2.0
172,"BIBEROVIC, TARIK",00:42,0,0.0,1,0,1,0.0
172,"PIERRE, DYSHAWN",22:20,4,1.0,2,1,8,21.0
172,"GUDURIC, MARKO",23:52,15,0.0,3,1,13,7.0
172,"DORSEY, TYLER",23:16,24,0.0,1,0,23,26.0
172,"CALATHES, NICK",24:16,9,1.0,4,7,14,5.0
172,"MADAR, YAM",18:42,3,0.0,2,4,2,10.0
172,"SESTINA, NATHAN",27:51,14,0.0,4,0,16,21.0
172,Team,,0,0.0,4,0,4,
172,Total,200:00,91,,33,19,104,
181,"MOTLEY, JOHNATHAN",29:15,12,0.0,4,0,15,2.0
181,"WILBEKIN, SCOTTIE",29:12,30,1.0,1,4,28,17.0
181,"SANLI, SERTAC",10:47,2,0.0,0,0,-5,-4.0
181,"PAPAGIANNIS, GEORGIOS",04:58,2,1.0,0,0,3,9.0
181,"MAHMUTOGLU, MELIH",DNP,0,0.0,0,0,0,0.0
181,"BIBEROVIC, TARIK",21:48,5,0.0,2,1,4,-10.0
181,"PIERRE, DYSHAWN",27:56,15,1.0,10,2,29,8.0
181,"GUDURIC, MARKO",21:48,8,0.0,3,1,12,-6.0
181,"DORSEY, TYLER",23:33,13,0.0,2,1,11,-2.0
181,"CALATHES, NICK",30:56,6,1.0,5,6,11,22.0
181,"MADAR, YAM",09:44,0,0.0,1,0,-1,-10.0
181,"SESTINA, NATHAN",15:03,5,1.0,1,1,1,9.0
181,Team,,0,0.0,4,0,4,
181,Total,225:00,98,,33,16,112,
198,"MOTLEY, JOHNATHAN",13:09,15,0.0,3,1,18,-13.0
198,"HAZER, SEHMUS",02:25,0,0.0,1,0,-1,-6.0
198,"WILBEKIN, SCOTTIE",26:13,22,1.0,2,6,23,-6.0
198,"SANLI, SERTAC",22:17,6,1.0,6,0,4,-5.0
198,"PAPAGIANNIS, GEORGIOS",20:24,2,1.0,5,1,5,-3.0
198,"MAHMUTOGLU, MELIH",08:35,6,0.0,0,0,4,-9.0
198,"PIERRE, DYSHAWN",24:31,6,1.0,6,0,10,-25.0
198,"MESTOGLU, HAMZA",02:25,0,0.0,0,0,0,-6.0
198,"GUDURIC, MARKO",23:13,7,0.0,1,1,7,-11.0
198,"DORSEY, TYLER",23:51,7,0.0,1,1,1,-14.0
198,"CALATHES, NICK",19:47,4,1.0,5,2,2,5.0
198,"MADAR, YAM",13:10,0,0.0,1,1,-1,-22.0
198,Team,,0,0.0,2,0,2,
198,Total,200:00,75,,33,13,74,
201,"MOTLEY, JOHNATHAN",28:32,23,1.0,11,0,29,4.0
201,"HAZER, SEHMUS",DNP,0,0.0,0,0,0,0.0
201,"WILBEKIN, SCOTTIE",30:48,15,1.0,4,6,17,21.0
201,"SANLI, SERTAC",11:28,8,0.0,0,0,4,9.0
201,"PAPAGIANNIS, GEORGIOS",16:41,7,1.0,3,0,3,-6.0
201,"MAHMUTOGLU, MELIH",06:16,0,0.0,1,0,-1,-2.0
201,"NOUA, AMINE",21:14,9,0.0,1,1,10,20.0
201,"GUDURIC, MARKO",29:54,10,1.0,2,4,16,9.0
201,"DORSEY, TYLER",16:01,4,0.0,1,1,-2,-5.0
201,"CALATHES, NICK",23:02,5,1.0,7,2,6,20.0
201,"MADAR, YAM",16:04,7,0.0,0,3,11,-5.0
201,Team,,0,0.0,4,0,4,
201,Total,200:00,88,,34,17,97,
210,"MOTLEY, JOHNATHAN",23:16,24,0.0,3,0,24,0.0
210,"WILBEKIN, SCOTTIE",33:05,17,1.0,3,5,17,22.0
210,"SANLI, SERTAC",16:44,8,1.0,2,1,5,10.0
210,"PAPAGIANNIS, GEORGIOS",24:11,5,1.0,2,0,8,17.0
210,"MAHMUTOGLU, MELIH",03:33,0,0.0,0,0,-1,-7.0
210,"BIBEROVIC, TARIK",05:07,3,0.0,0,0,2,3.0
210,"NOUA, AMINE",29:57,11,1.0,7,1,12,8.0
210,"GUDURIC, MARKO",23:25,7,0.0,6,5,16,1.0
210,"DORSEY, TYLER",08:15,0,0.0,0,0,-2,-11.0
210,"CALATHES, NICK",27:38,8,1.0,4,8,16,9.0
210,"MADAR, YAM",DNP,0,0.0,0,0,0,0.0
210,"SESTINA, NATHAN",04:49,0,0.0,1,0,-2,-2.0
210,Team,,0,0.0,3,0,3,
210,Total,200:00,83,,31,20,98,
222,"MOTLEY, JOHNATHAN",16:38,11,0.0,7,1,14,0.0
222,"WILBEKIN, SCOTTIE",32:26,11,1.0,2,5,6,-3.0
222,"SANLI, SERTAC",22:45,12,1.0,3,0,13,-9.0
222,"PAPAGIANNIS, GEORGIOS",17:57,7,1.0,3,0,8,-4.0
222,"HAYES-DAVIS, NIGEL",22:18,4,0.0,6,1,6,-4.0
222,"BIBEROVIC, TARIK",08:56,2,0.0,1,0,-3,1.0
222,"NOUA, AMINE",21:15,8,1.0,4,1,10,4.0
222,"GUDURIC, MARKO",22:23,2,0.0,1,1,-8,-12.0
222,"DORSEY, TYLER",07:59,2,0.0,0,1,-1,-4.0
222,"CALATHES, NICK",25:11,10,1.0,4,3,9,-5.0
222,"MADAR, YAM",02:12,0,0.0,0,1,1,1.0
222,"SESTINA, NATHAN",DNP,0,0.0,0,0,0,0.0
222,Team,,0,0.0,9,0,8,
222,Total,200:00,69,,40,14,63,
233,"MOTLEY, JOHNATHAN",20:42,16,0.0,5,3,20,-10.0
233,"WILBEKIN, SCOTTIE",27:03,10,1.0,5,2,15,0.0
233,"SANLI, SERTAC",17:35,5,1.0,4,0,4,3.0
233,"PAPAGIANNIS, GEORGIOS",04:44,0,0.0,0,0,-3,-7.0
233,"HAYES-DAVIS, NIGEL",33:09,4,1.0,4,1,-2,-12.0
233,"BIBEROVIC, TARIK",24:06,12,0.0,1,1,10,-15.0
233,"NOUA, AMINE",16:45,4,1.0,3,0,4,14.0
233,"GUDURIC, MARKO",11:42,0,0.0,1,2,-2,-10.0
233,"DORSEY, TYLER",07:55,0,0.0,0,0,0,-11.0
233,"CALATHES, NICK",27:56,12,1.0,3,5,12,-10.0
233,"MADAR, YAM",08:23,0,0.0,0,3,-1,3.0
233,"SESTINA, NATHAN",DNP,0,0.0,0,0,0,0.0
233,Team,,0,0.0,3,0,3,
233,Total,200:00,63,,29,17,60,
242,"MOTLEY, JOHNATHAN",24:50,11,0.0,5,2,16,16.0
242,"WILBEKIN, SCOTTIE",16:31,1,0.0,1,2,0,-3.0
242,"SANLI, SERTAC",08:29,8,1.0,2,0,8,1.0
242,"PAPAGIANNIS, GEORGIOS",06:18,6,0.0,1,1,9,0.0
242,"HAYES-DAVIS, NIGEL",25:55,19,1.0,2,4,21,9.0
242,"BIBEROVIC, TARIK",23:48,17,0.0,2,1,16,25.0
242,"NOUA, AMINE",15:54,7,1.0,4,2,13,-5.0
242,"GUDURIC, MARKO",19:43,13,0.0,0,6,14,14.0
242,"DORSEY, TYLER",14:19,4,1.0,1,1,5,-6.0
242,"CALATHES, NICK",29:45,11,1.0,3,12,25,20.0
242,"MADAR, YAM",DNP,0,0.0,0,0,0,0.0
242,"SESTINA, NATHAN",14:28,14,0.0,0,1,12,4.0
242,Team,,0,0.0,1,0,1,
242,Total,200:00,111,,22,32,140,
248,"MOTLEY, JOHNATHAN",11:21,10,0.0,5,2,10,16.0
248,"WILBEKIN, SCOTTIE",22:58,12,0.0,2,1,10,8.0
248,"SANLI, SERTAC",18:03,7,1.0,2,0,5,-11.0
248,"PAPAGIANNIS, GEORGIOS",10:36,4,0.0,3,1,5,5.0
248,"HAYES-DAVIS, NIGEL",32:04,17,1.0,12,2,26,8.0
248,"BIBEROVIC, TARIK",27:29,10,0.0,4,1,6,14.0
248,"NOUA, AMINE",10:54,2,1.0,1,0,1,-2.0
248,"GUDURIC, MARKO",17:50,8,0.0,3,2,10,8.0
248,"DORSEY, TYLER",08:53,5,1.0,1,0,3,-5.0
248,"CALATHES, NICK",26:32,12,1.0,6,6,11,7.0
248,"MADAR, YAM",05:24,0,0.0,0,1,1,0.0
248,"SESTINA, NATHAN",07:56,2,0.0,2,0,2,2.0
248,Team,,0,0.0,4,0,4,
248,Total,200:00,89,,45,16,94,
258,"MOTLEY, JOHNATHAN",17:52,8,0.0,4,2,11,7.0
258,"WILBEKIN, SCOTTIE",19:55,20,0.0,0,2,21,13.0
258,"SANLI, SERTAC",09:15,0,1.0,0,0,-3,8.0
258,"PAPAGIANNIS, GEORGIOS",12:03,2,0.0,0,1,-1,14.0
258,"HAYES-DAVIS, NIGEL",24:02,21,1.0,3,1,21,18.0
258,"BIBEROVIC, TARIK",15:50,12,0.0,6,1,15,16.0
258,"NOUA, AMINE",19:09,7,1.0,5,0,11,13.0
258,"GUDURIC, MARKO",13:48,8,0.0,1,2,8,10.0
258,"DORSEY, TYLER",22:53,28,1.0,3,1,23,19.0
258,"CALATHES, NICK",19:15,4,1.0,3,9,14,14.0
258,"MADAR, YAM",10:00,2,0.0,1,6,8,6.0
258,"SESTINA, NATHAN",15:58,6,0.0,2,0,4,12.0
258,Team,,0,0.0,4,0,4,
258,Total,200:00,118,,32,25,136,
